Assuntos,Desc. física,Ent. princ.,Imprenta,Link,Título,Unidade de descrição,Material,Ent. sec.,Título analítico fonte,Série,ISBN,Forma do registro,Edição,Título não controlado
1. Em processamento,2 v : il.,"Brasil. Ministerio da Agricultura, Industria e Commercio","Rio de Janeiro (BR) : Typographia da Estatistica, 1916.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=31313,"Annuario Estatistico do Brazil : (1908-1912) / Ministerio da Agricultura, Industria e Commercio, Directoria Geral de Estatistica.",Livro - Português,,,,,,,,
,,,Rio de Janeiro,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=7374,Revista do Livro,,Fonte de analítica avulsa,,,,,,,
,247 p.,"Freyre, Gilberto, 1900-1987","Rio de Janeiro (BR) ; Brasília (DF, BR) : Grifo : Mec, INL, 1972.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=4987,A condição humana e outros temas / Gilberto Freire.,Livro - Português,,I. Brasil. Ministério da Educação e Cultura. Serviço de Documentação,,,,,,
1. Em processamento,167 p.,"Arinos, Affonso, 1868-1916","Rio de Janeiro (BR) : F. Alves, 1918.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=32561,O mestre de campo : romance do século dezoito / Afonso Arinos.,Livro - Português,,,,,,,,
"1. Acióli, Antônio Pinto Nogueira, 1840-1921 2. Ceará",,"Leônidas, 1882-1943",[S.l.: s.n.].,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=104411,A divisão naval no Ceará (episódio extra-roteiro): / Leônidas.,Charge (Reprodução),,,O Malho,,,,,
,t.1 . 626 p.,"Berthelot, A.","Paris (França) : Ernest Leoux Éditeur, 1885.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=119490,"Histoire intérieure de Rome : jusqu'a la batalle d'actium, tirée des roemische alterthümer de L. Lange / A. Berthelot et Didier.",Livro - Português,,I. Didier,,,,,,
,273 p. : il.,"Andrade, Mário de, 1893-1945","São Paulo (BR) : Martins, 1963.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=3859,Padre Jesuíno do Monte Carmelo / Mário de Andrade.,Livro,,,,(Obras completas de Mário de Andrade); 16),,,,
1. Em processamento,646 p.,"Cunha, Euclides da, 1866-1909","Rio de Janeiro (BR) : F. Alves, 1950.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=26526,Os sertões : campanha de Canudos / Euclydes da Cunha.,Livro - Português,,,,,,,,
"1. Nabuco, Joaquim, 1849-1910 2. Em processamento",309 p. : il.,"Vieira, Celso, 1878-1954","São Paulo (BR) : Instituto Progresso Editorial, 1949.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=40577,"Joaquim Nabuco : ""libertador da raça negra"" / Celso Vieira.",Livro - Português,,,,(Pantheon Brasileiro; 001)),,,,
"1. Fontes, Paulo Martins - Candidatura presidencial - 1919 2. Candidatura presidencial - 1919",,Marco Tullio,,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=72520,A jornada do triundo,Artigo de Periódico - Português,,,Diário de Notícias,,,,,
"1. Pena, Afonso, 1847-1909 2. Peçanha, Nilo 1867-1924",,,[S.l.: s.n.].,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=96568,Ultimo echo do banquete de Bello Horizonte,Charge (Reprodução),,,O Malho,,,,,
1. Literatura infantojuvenil 2. Folclore 3. Brasil,29 p. : il.,"Rainho, Cleonice, 1919-","Rio de Janeiro (BR) : Memórias Futuras, c1996.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=128690,Festas tradicionais brasileiras / Cleonice Rainho ; ilustrações de Ilene Lara.,Livro infantojuvenil - Português,,"I. Lara, Ilene (il)",,,8528700100,,,
1. Anti-herói,8 p.,"Rocha, Custódio","[S.l.] : Rodolfo Coelho Cavalcante, [19- ].",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=83056,O homem que deu o sangue ao diabo / Custódio Rocha.,Folheto de cordel - Português,,,,,,,,
1. Fundação Casa de Rui Barbosa. Museu 2. Acervo museológico 3. Cachepô 4. Sala Pró-Aliados,01 cromo : color ; 6 x 6 cm.,"Gautherot, Marcel","Rio de Janeiro (BR) : [s.n.], 1974 a 1975.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=139683,Organização da Memória Fotográfica,Documento especial de arquivo,,I. Fundação Casa de Rui Barbosa,,,,Cromo.,,
1. Literatura infanto juvenil,10p. : il. color.,"Amorim, Patrícia","Blumenau (SC, BR) ; Vale das Letras, [200?].",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=207023,O Presépio / Patrícia Amorim; ilustração: Editora Vale das Letras.,Livro infantojuvenil - Português,,I. Editora Vale das Letras,,(Contos de Natal),8576611813,,,
1. Em processamento,324 p.,,"São Paulo (BR) : Hucitec : EDUSP : Associação Brasileira de Pesquisadores em História Econômica : Imprensa Oficial, 2002.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=46612,"História econômica da Primeira República / Organização de Tamás Szmrecsányi, Sérgio S. Silva.",Livro - Português,,"I. Szmrecsányi, Tamás (org) II. Silva, Sergio S. (org)",,,,,"2. ed., rev",
"1. Barbosa, Rui 2. Fundação Casa de Rui Barbosa. Museu 3. Abotoadura 4. Campanha eleitoral",01 cromo : color ; 6 x 6 cm.,"Gautherot, Marcel","Rio de Janeiro (BR) : [s.n.], 1974 a 1975.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=140979,Organização da Memória Fotográfica,Documento especial de arquivo,,I. Fundação Casa de Rui Barbosa,,,,Cromo.,,
,212 p.,"Delfino, Luís","São Paulo (BR) : Ed. Nacional, [18--?].",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=18212,Poesias lyricas / Luiz Delfino.,Livro - Português,,,,,,,,
"1. Lacerda, Carlos, 1914-1977 - Biografia",359 p. : il. ; 21 cm.,"Magalhães, Mauro","Rio de Janeiro : Civilização Brasileira, 1993.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=209663,"Carlos Lacerda, o sonhador pragmático : recordações na perspectiva do tempodo líder do Governo na Assembléia Legislativa da Guanabara / Mauro Magalhães.",Livro - Português,,"I. Lopes, F. F. (rev.)",,,907215,,3. ed. rev. e ampl.,
1. Reforma administrativa - Brasil 2. Administração pública,254 p. ; 23 cm.,"Costa, Frederico Lustosa da","Rio de Janeiro (BR) : FGV, 2010.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=122303,Reforma do Estado e contexto brasileiro : crítica do paradigma gerencialista / Frederico Lustosa da Costa.,Livro - Português,,I. Fundação Getúlio Vargas,,,9788522508235,,,
"1. Cervantes Saavedra, Miguel de, 1574-1616. Don Quixote 2. Literatura espanhola - Ensaios, conferências, etc 3. Literatura espanhola - Poesia",5v.,"Menéndez y Pelayo, Marcelino","Madri (Espanha) : Est. Tip. Sucesores de Rivadeneyra, 1893, 1908.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=65368,Estudios de crítica literaria,Livro - Espanhol,,I. Colección de escritores castellanos. Críticos,,(Colección de escritores castellanos; 1)),,,2. ed.,
,15 p.,"Santos, Juvenal Evangelista","[S.l.] : [s.n.], 1981.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=50110,Festival no Maranhão / Juvenal Evangelista.,Folheto de cordel - Português,,,,,,,,
1. Literatura - Periódico - Portugal,,,"Porto (Portugal) : Ed. A. Bertrand Neves, 1957-1961.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=113028,Bandarra : artes e letras / Ed. A. Bertrand Neves.,Periódico - Português,,,,,,,,
1. Folha 2. Homem,,"Andrade, Carlos Drummond de, 1902-1987",[S.l.: s.n.].,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=194764,Folha,Documento textual de arquivo,,,Módulo,,,Poema.,,
1. Literatura francesa - Prosa,262 p.,"Halévy, Ludovia","Paris (França) : Guillard, Aillaud, [19--?].",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=107427,O abade Constantino / Ludovia Halévy ; trad. de Manoel Pinheiro Chagas.,Livro - Português,,"I. Chagas, Manuel Pinheiro (trad)",,,,,,
,,,"Salvador, 09 jul. 1876",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=73211,Diário da Bahia,,Fonte de analítica avulsa,,,,,,,
"1. Rio Branco, José Maria da Silva Paranhos, Barão do, 1845-1912 2. Cruz, Oswaldo, 1872-1917 3. Candidato 4. Presidente da república 5. Saúde pública 6. Higiene 7. Rio de Janeiro (RJ,BR)",,,,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=100216,[Notas],Artigo de Periódico,,,O Malho,,,,,
,,,"Londres, 08 dez. 1894",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=79302,The Times,,Fonte de analítica avulsa,,,,,,,
"1. Frontin, Paulo 1860-1933 2. Renovação urbana 3. Rio de Janeiro (BR) 4. Zé Povo",,"Rocha, ?-1939",[S.l.: s.n.].,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=96329,Contraste do prefeito / Rocha.,Charge (Reprodução) - Português,,,O Malho,,,,,
,,Não identificado,,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=194026,Vida literária,Documento textual de arquivo,,,,,,Artigo de periódico.,,
,1 doc : Manuscrito.,"Amado, Jorge","S.l : [s.n.], s.d.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=210071,Henrique IV e Gregório VII,Documento textual de arquivo,,,,,,Prova escolar.,,
1. Encontro da Cultura Brasileira - MINC 2. Cultura,Fita Video VHS.,,[S.l.: s.n.].,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=136525,,Documento especial de arquivo,,,,,,Fita de video.,,
1. Nota de dedicatória 2. Em processamento,1 v. : il.,"Anjos, Cyro dos, 1906-1994","Brasília (DF, BR) : Universidade de Brasília, 1964.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=2010,Poemas coronários / Ciro dos Anjos.,Livro - Português,,,,,,,,
1. Higiene pública - Congressos 2. Demografia - Congressos 3. Discursos,128 p.,Congresso Internacional de Higiene e Demografia (1886 : Paris (França),"Paris (França) : J. B. Baillière, 1889.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=59054,Discours prononcé a la seánce générale d'ouverture / par M. le professeur Brouardel. Compte rendu des séances par le Dr. Reuss.,Livro - Francês,,"I. Brouardel, Paul Camille Hippolyte II. Reuss, L.",,,,,,
"1. Toledo, Dionísio",1 doc. : Manuscrito.,Cecília,"Paris (França) : [s.n.], de 15 jul. 1971.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=198539,,Documento textual de arquivo,,I. Cacaso (Destinatário),,,,Carta.,,
,,,Rio de Janeiro,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=182566,,,Fonte de analítica avulsa,,,,,,,
,,,[S.l.: s.n.].,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=183731,,[Sem material definido],,,,,,,,
,1 doc : Datilografado com emenda.,"Octavio Filho, Rodrigo (Rodrigo Octávio Langgaard de Menezes Filho), 1892-1969","[S. l.] : [s.n.], 14 set. 1950.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=170738,Tenho para mim - e a confissão que vou fazer não espanta,Documento textual de arquivo - Português,,,,,,Discurso.,,
1. Literatura de cordel brasileira,8 p.,"Dila, José Cavalcanti e Ferreira","Caruaru (PE, BR) : [s.n.], 1976.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=218933,São Cipriano e a Bruxa Espady / Autor: José Cavalcanti e Ferreira Dila.,Folheto de cordel - Português,,,,,,,,
,,,,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=190792,,,Fonte de analítica avulsa,,,,,,,
,,,,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=36180,O Tempo,,Fonte de analítica avulsa,,,,,,,
,183 p.,"Schmidt, Afonso","São Paulo (BR) : Clube do Livro, 1955.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=4029,Mistérios de São Paulo / Afonso Schmidt.,Livro,,,,,,,,
1. Acre (BR) 2. Acre (AC) - História 3. Região Norte - História,142 p. : il.,"Meira, Sílvio, 1919-","Rio de Janeiro (BR) : Record, 1964.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=127450,A epopéia do Acre : batalhas do ouro-negro / Sílvio de Bastos Meira ; ilustrações e capa de Armando Pacheco.,Livro infantojuvenil - Português,,"I. Alves, Armando Pacheco, 1913-1965 (il)",,(Enciclopédia Histórica; 013)),,,,
1. Paraíba - História,v.,"Machado, Maximiano Lopes","João Pessoa (PB, BR) : Ed. Universitária, UFPb, 1977.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=109947,História da província da Paraíba / Maximiano Lopes Machado.,Livro - Português,,"I. Otávio, José (pref)",,,,,Reprod. da ed. de 1912,
,,,Rio de Janeiro,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=191420,,,Fonte de analítica avulsa,,,,,,,
1. Literatura infantojuvenil 2. Ecologia 3. Brasil 4. Pantanal Mato-grossense (MT e MS),"98, [1].","Ribeiro, José Hamilton","São Paulo (BR) : Brasiliense, 1974.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=123454,"Pantanal, amor-baguá / José Hamilton Ribeiro.",Livro infantojuvenil - Português,,,,(Jovens do Mundo Todo)),,,,
1. Heroi casal,31 p.,"Lima, João Ferreira de, 1902-1972","Juazeiro do Norte (CE, BR) : João Martins de Athayde, 1953.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=54004,Romance de José de Sousa Leão / João Ferreira Lima.,Folheto de cordel - Português,,,,,,,,
"1. MOREIRA, Thiers Martins. O Menino e o Palacete",2 docs.,"Gomes, Eugênio","Rio de Janeiro (BR) : [s.n.], 25 out. 1954 e 23 fev. 1962.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=165063,Correspondência - Thiers Martins Moreira,Documento textual de arquivo - Português,,"I. Moreira, Thiers Martins (Destinatário)",,,,Correspondência.,,
,221 p.,Paulo Henrique,"São Paulo (BR) : Brasiliense, 1947.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=119518,Panoramas da história / Paulo Henrique.,Livro - Português,,,,,,,,
,,,[S.l.: s.n.].,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=149457,,[Sem material definido],,,,,,,,
