Assunto,Descrição do documento,Localização Geográfica,Palavras-chave,Tipo de documento,autor,data,descrição,link,titulo,Outros nomes,Número do documento
"Autorização
","03 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Rosa Gomes||Setor Carmo||Setor Santa Bárbara,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2011,"Documentação abrangendo o período de 2011 - 2014.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30554?discover?rpp=10&etal=0,"Imóvel à Rua Hugo Ramos, nº 07",,
"Obras
","Fotografia COR; 15 x 10 cm
","João Pessoa, Paraíba (PB)
",Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Varadouro||Rua Padre Antônio Pereira||Ladeira de São Frei Pedro Gonçalves||Intervenção,"Fotografias
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",,"[Prospecção arquitetônica]
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31065?discover?rpp=10&etal=0,"Imóvel à Praça São Frei Pedro Gonçalves, nº 02 ﻿",,"F000128
"
"Obras
","Fotografia COR; 15 x 10 cm
","João Pessoa, Paraíba (PB)
",Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Varadouro||Rua Padre Antônio Pereira||Ladeira de São Frei Pedro Gonçalves||Intervenção,"Fotografias
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",,"[Prospecção arqueológica]
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31063?discover?rpp=10&etal=0,"Imóvel à Praça São Frei Pedro Gonçalves, nº 02 ﻿",,"F000126
"
"Obras
","Fotografia COR; 15 x 10 cm
","João Pessoa, Paraíba (PB)
",Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Varadouro||Rua Padre Antônio Pereira||Ladeira de São Frei Pedro Gonçalves||Intervenção,"Fotografias
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",,"[Prospecção arqueológica]
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31064?discover?rpp=10&etal=0,"Imóvel à Praça São Frei Pedro Gonçalves, nº 02 ﻿",,"F000127
"
"Autorização
","07 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2014,"Requerimento e parecer.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30607?discover?rpp=10&etal=0,"Imóvel à Avenida Deusdeth Ferreira de Moura, s/n (2)",,
"Obras
","27 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Intervenção||Rua Direita do Palácio||Setor Santana,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1987,"Documentação abrangendo o período de 1987 - 2015.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30596?discover?rpp=10&etal=0,"Imóvel à Rua Moretti Foggia, nº 03",,
"Autorização
","02 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Rosa Gomes||Rua Santa Bárbara||Setor Carmo,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2003,"Documentação referente ao ano de 2003.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30571?discover?rpp=10&etal=0,"Imóvel à Rua Hugo Ramos, nº 44",,
"Autorização
","02 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Rosa Gomes||Setor Carmo||Setor Santa Bárbara,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2011,"Documentação referente ao ano de 2011.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30563?discover?rpp=10&etal=0,"Imóvel à Rua Hugo Ramos, nº 24",,
"Identificação
","03 folhas textuais; 01 foto; 01 planta.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Cadastro de Bens Culturais Imóveis||Inventário Nacional de Bens Imóveis,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1996-05-09,"Documentação abrangendo o período de 1996 -1997.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/26704?discover?rpp=10&etal=0,"Imóvel à Rua da Carioca, s/n (3)",,
"Obras
","05 folhas textuais; 02 fotografias; 01 planta.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Intervenção||Notificação||Programa MONUMENTA||Rua do Ouvidor,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2001,"Documentação abrangendo o período de 2001 - 2008.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30883?discover?rpp=10&etal=0,"Imóvel à Rua Senador Eugênio Jardim, nº 12",,
"Autorização
","12 folhas textuais; 01 planta.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2014,"Documentação abrangendo o período de 2014 - 2015.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30606?discover?rpp=10&etal=0,"Imóvel à Avenida Deusdeth Ferreira de Moura, n° 26",,
"Autorização
","10 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Área de Entorno||Construção Nova,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2013,"Requerimento, proposta e parecer.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30579?discover?rpp=10&etal=0,"Imóvel à Avenida Deusdeth Ferreira de Moura, Quadra 10, Lote 10 e 11",,
"Identificação
","03 folhas textuais; 01 foto; 01 planta.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Cadastro de Bens Culturais Imóveis||Inventário Nacional de Bens Imóveis,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1996-05-09,"Documentação abrangendo o período de 1996 -1997.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/26702?discover?rpp=10&etal=0,"Imóvel à Rua da Carioca, s/n (2)",,
"Autorização
","02 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Rosa Gomes||Setor Carmo||Setor Santa Bárbara,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2002,"Documentação referente ao ano de 2002.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30566?discover?rpp=10&etal=0,"Imóvel à Rua Hugo Ramos, nº 29",,
"Obras
","13 folhas textuais; 01 planta.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Intervenção||Travessa do Carmo||Rua do Ouvidor,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1992,"Documentação abrangendo o período de 1992 - 2006.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30896?discover?rpp=10&etal=0,"Imóvel à Rua Senador Eugênio Jardim, nº 17",,
"Autorização
","01 folha textual.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2008,"Requerimento.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30893?discover?rpp=10&etal=0,"Imóvel à Rua Coronel Santa Cruz, s/n (10)",,
"Autorização
","01 folha textual.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2003,"Requerimento.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30891?discover?rpp=10&etal=0,"Imóvel à Rua Coronel Santa Cruz, s/n (9)",,
"Autorização
","13 folhas textuais (com plantas em folhas diversas).
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2001,"Documentação abrangendo o período de 2001 - 2002.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30921?discover?rpp=10&etal=0,"Imóvel à Rua Santa Bárbara, n° 01",,
"Autorização
","38 folhas textuais; 05 plantas.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2008,"Documentação abrangendo o período de 2008 - 2009.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31000?discover?rpp=10&etal=0,"Imóvel à Rua Santa Bárbara, Quadra 06, Lote 16",,
"Autorização
","13 folhas textuais (com plantas em folhas A4)
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1997,"Documentação abrangendo o período de 1997 - 2012.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30995?discover?rpp=10&etal=0,"Imóvel à Rua Santa Bárbara, n° 48",,
"Autorização
","04 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Corumbá||Vistoria,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2005,"Documentação abrangendo o período de 2005 - 2009.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31023?discover?rpp=10&etal=0,"Imóvel à Rua Maximiano Mendes, s/n (05)",,
"Identificação
","01 folha textual; 01 foto; 01 planta.
","Goiás, Goiás (GO)
","Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Conjunto Arquitetônico e Urbanístico do Largo do Chafariz, ou Praça Monsenhor Confúcio, inclusive Chafariz da Boa Morte||Praça Doutor Brasil Ramos Caiado||Setor Santana","textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1996-04-08,"Ficha do Cadastro de Bens Culturais Imóveis.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/26500?discover?rpp=10&etal=0,"Imóvel ao Largo do Chafariz, n° 17",,
"Autorização
","01 folha textual.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2011,"Requerimento.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30901?discover?rpp=10&etal=0,"Imóvel à Rua Coronel Santa Cruz, s/n (12)",,
"Obras
","24 folhas textuais; 01 planta.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Intervenção||Rua Corumbá||Obra Emergencial||Ateliê Manocci,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1999,"Documentação abrangendo o período de 1999 - 2012.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30992?discover?rpp=10&etal=0,"Imóvel à Rua Maximiano Mendes, nº 13",,
"Autorização
","01 folha textual.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2013,"Requerimento.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31031?discover?rpp=10&etal=0,"Imóvel à Rua Santa Bárbara, Quadra 19, Lote 15",,
"Obras
","02 folhas textuais; 01 planta.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Intervenção||Rua Corumbá,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2005,"Documentação abrangendo o período de 2005 - 2012.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31015?discover?rpp=10&etal=0,"Imóvel à Rua Maximiano Mendes, nº 24",,
"Autorização
","01 folha textual.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Corumbá,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2009,"Documentação referente ao ano de 2009.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31018?discover?rpp=10&etal=0,"Imóvel à Rua Maximiano Mendes, nº 18",,
"Obras
","20 folhas textuais; 03 plantas.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Intervenção||Rua Corumbá||Programa MONUMENTA,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1999,"Documentação abrangendo o período de 1999 - 2011.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31042?discover?rpp=10&etal=0,"Imóvel à Rua Maximiano Mendes, nº 06",,
"Autorização
","01 folha textual.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2008,"Requerimento.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31038?discover?rpp=10&etal=0,"Imóvel à Rua Santa Bárbara, Quadra A, Lote 02",,
"Fiscalização
","03 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1985,"Documentação abrangendo o período de 1985 - 1994.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31048?discover?rpp=10&etal=0,"Imóvel à Rua da Abadia, nº 04",,
"Identificação
","Fotografia COR; 15 x 10 cm
","João Pessoa, Paraíba (PB)
",Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Varadouro||Rua Padre Antônio Pereira||Ladeira de São Frei Pedro Gonçalves,"Fotografias
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",,"Parte da fachada, ladeira e vista do Rio Sanhauá
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31071?discover?rpp=10&etal=0,"Imóvel à Praça São Frei Pedro Gonçalves, nº 02 ﻿",,"F000134
"
"Autorização
","23 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2014,"Documentação abrangendo o período de 2014 - 2016.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31045?discover?rpp=10&etal=0,"Imóvel à Rua Santa Bárbara, s/n (7)",,
"Autorização
","05 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2003,"Documentação abrangendo o período de 2005 - 2013.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31049?discover?rpp=10&etal=0,"Imóvel à Rua Santa Bárbara, n° 10",,
"Autorização
","03 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2002,"Documentação abrangendo o período de 2000 - 2002.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31050?discover?rpp=10&etal=0,"Imóvel à Rua Santa Bárbara, n° 12",,
"Autorização
","04 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2000,"Documentação abrangendo o período de 2000 - 2003.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31051?discover?rpp=10&etal=0,"Imóvel à Rua da Abadia, nº 07",,
"Obras
","Fotografia COR; 15 x 10 cm
","João Pessoa, Paraíba (PB)
",Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Varadouro||Rua Padre Antônio Pereira||Ladeira de São Frei Pedro Gonçalves||Intervenção,"Fotografias
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",,"[Prospecção arqueológica]
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31068?discover?rpp=10&etal=0,"Imóvel à Praça São Frei Pedro Gonçalves, nº 02 ﻿",,"F000131
"
"Identificação
","Fotografia COR; 15 x 10 cm
","João Pessoa, Paraíba (PB)
",Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Varadouro||Rua Padre Antônio Pereira||Ladeira de São Frei Pedro Gonçalves,"Fotografias
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",,"Vista interna
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31069?discover?rpp=10&etal=0,"Imóvel à Praça São Frei Pedro Gonçalves, nº 02 ﻿",,"F000132
"
"Obras
","Fotografia P&B; 9 x 12 cm
","João Pessoa, Paraíba (PB)
",Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Rua Visconde de Pelotas||Rua Conselheiro Henriques||Praça Dom Adauto||Intervenção,"Fotografias
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",,"Esquadria original com bandeira ogival e caixilharia envidraçada; verga de madeira; com quatro folhas; sendo duas tipo veneziana e duas inteiriças que quando abertas compõem o aro revestido de madeira na altura da bandeira no desenho das folhas internas pavimento superior
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31085?discover?rpp=10&etal=0,Sobrado do Comendador Santos Coelho,Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Rua Visconde de Pelotas||Rua Conselheiro Henriques||Praça Dom Adauto||Intervenção||Casarão dos Azulejos||Sobrado dos Azulejos,"F002060
"
"Obras
","Fotografia COR; 30 x 45 cm
","João Pessoa, Paraíba (PB)
",Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Rua Visconde de Pelotas||Rua Conselheiro Henriques||Praça Dom Adauto||Intervenção,"Fotografias
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1999,"Vista interna
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31094?discover?rpp=10&etal=0,Sobrado do Comendador Santos Coelho,Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Rua Visconde de Pelotas||Rua Conselheiro Henriques||Praça Dom Adauto||Intervenção||Casarão dos Azulejos||Sobrado dos Azulejos,"F002045
"
"Autorização
","03 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Notificação||Rua Corumbá,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2001,"Documentação referente ao ano de 2001.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30986?discover?rpp=10&etal=0,"Imóvel à Rua Maximiano Mendes, nº 11B",,
"Obras
","Fotografia COR; 14,5 x 10 cm
","João Pessoa, Paraíba (PB)
",Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Rua Visconde de Pelotas||Rua Conselheiro Henriques||Praça Dom Adauto||Intervenção,"Fotografias
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",,"Prospecção da pintura existente que revelou detalhe da pintura original
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31090?discover?rpp=10&etal=0,Sobrado do Comendador Santos Coelho,Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Rua Visconde de Pelotas||Rua Conselheiro Henriques||Praça Dom Adauto||Intervenção||Casarão dos Azulejos||Sobrado dos Azulejos,"F002116
"
"Identificação
","Fotografia COR; 15 x 10 cm
","João Pessoa, Paraíba (PB)
",Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Varadouro||Rua Padre Antônio Pereira||Ladeira de São Frei Pedro Gonçalves,"Fotografias
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",,"Vista interna
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31070?discover?rpp=10&etal=0,"Imóvel à Praça São Frei Pedro Gonçalves, nº 02 ﻿",,"F000133
"
"Obras
","Fotografia COR; 30 x 44 cm
","João Pessoa, Paraíba (PB)
",Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Rua Visconde de Pelotas||Rua Conselheiro Henriques||Praça Dom Adauto||Intervenção,"Fotografias
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1999,"Vista interna
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31092?discover?rpp=10&etal=0,Sobrado do Comendador Santos Coelho,Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Rua Visconde de Pelotas||Rua Conselheiro Henriques||Praça Dom Adauto||Intervenção||Casarão dos Azulejos||Sobrado dos Azulejos,"F002643
"
"Obras
","Fotografia COR; 14,5 x 10 cm
","João Pessoa, Paraíba (PB)
",Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Rua Visconde de Pelotas||Rua Conselheiro Henriques||Praça Dom Adauto||Intervenção,"Fotografias
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",,"Pavimentação superior do anexo. Piso em mosaico estruturado com peças de madeira. Apresenta-se em ruínas
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31088?discover?rpp=10&etal=0,Sobrado do Comendador Santos Coelho,Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Rua Visconde de Pelotas||Rua Conselheiro Henriques||Praça Dom Adauto||Intervenção||Casarão dos Azulejos||Sobrado dos Azulejos,"F002114
"
"Obras
","Fotografia P&B; 14 x 9 cm
","João Pessoa, Paraíba (PB)
",Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Rua Visconde de Pelotas||Rua Conselheiro Henriques||Praça Dom Adauto||Intervenção,"Fotografias
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",,"Detalhe dos azulejos do revestimento externo português em tons azul e branco medindo 13 x 13 cm
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31080?discover?rpp=10&etal=0,Sobrado do Comendador Santos Coelho,Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Rua Visconde de Pelotas||Rua Conselheiro Henriques||Praça Dom Adauto||Intervenção||Casarão dos Azulejos||Sobrado dos Azulejos,"F002055
"
"Obras
","Fotografia P&B; 9 x 14 cm
","João Pessoa, Paraíba (PB)
",Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Rua Visconde de Pelotas||Rua Padre Antônio Pereira||Praça Dom Adauto||Intervenção,"Fotografias
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",,"Porta principal antes da restauração
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31081?discover?rpp=10&etal=0,Sobrado do Comendador Santos Coelho,Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Rua Visconde de Pelotas||Rua Padre Antônio Pereira||Praça Dom Adauto||Intervenção||Casarão dos Azulejos||Sobrado dos Azulejos,"F002056
"
