,Abrangência/ Cobertura,Assunto/ palavras-chave,Autor,Contribuidor/ colaborador,Data,Direitos,Formato,Identifier
0,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,L. J. & Cie.,adams,12/03/1907,L. J. & Cie.,Tiff,CLS SOC DOS6 CP98||BR FCRB
1,BEL,Família Oliveira Castro||Coleção Lúcia Sanson,Stenders Kunstnerbrevkot Eneberettiget,adams,3/05/1911,Stenders Kunstnerbrevkot Eneberettiget,Tiff,CLS SOC DOS6 CP99||BR FCRB
2,ITA,Família Oliveira Castro||Coleção Lúcia Sanson,Stengel & Co.,adams,s/d,Stengel & Co.,Tiff,CLS SOC DOS6 CP95||BR FCRB
3,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,Stebbing,adams,s/d,Stebbing,Tiff,CLS SOC DOS6 CP96||BR FCRB
4,SUI,Família Oliveira Castro||Coleção Lúcia Sanson,Millicent Sowerby,adams,31/12/1918,Millicent Sowerby,Tiff,CLS SOC DOS6 CP97||BR FCRB
5,FRA,"Família Oliveira Castro  ,  Camponês||Coleção Lúcia Sanson",Raphael Tuck & Fils Ltd.,adams,15/07/1907,Raphael Tuck & Fils Ltd.,Tiff,CLS SOC DOS6 CP91||BR FCRB
6,FRA,"Família Oliveira Castro  ,  Camponês||Coleção Lúcia Sanson",Raphael Tuck & Fils Ltd.,adams,04/07/1907,Raphael Tuck & Fils Ltd.,Tiff,CLS SOC DOS6 CP92||BR FCRB
7,FRA,"Família Oliveira Castro  ,  Camponês||Coleção Lúcia Sanson",Raphael Tuck & Fils Ltd.,adams,13/06/1907,Raphael Tuck & Fils Ltd.,Tiff,CLS SOC DOS6 CP93||BR FCRB
8,ALE,Família Oliveira Castro||Coleção Lúcia Sanson,Haupttreppe,adams,13/10/1906,Haupttreppe,Tiff,CLS SOC DOS6 CP94||BR FCRB
9,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,Maria Oliveira de Castro Moreira,adams,01/10/1926,Maria Oliveira de Castro Moreira,Tiff,CLS SOC DOS6 CP88||BR FCRB
10,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Great Britain,adams,S/d,Great Britain,Tiff,CLS SOC DOS6 CP89||BR FCRB
11,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina de Oliveira Castro,adams,s/d,Castorina de Oliveira Castro,Tiff,CLS SOC DOS6 CP9||BR FCRB
12,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,E.F.A.,adams,27/11/1906,E.F.A.,Tiff,CLS SOC DOS6 CP90||BR FCRB
13,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Atheliers de Phototypie Guende,adams,s/d,Atheliers de Phototypie Guende,Tiff,CLS SOC DOS6 CP85||BR FCRB
14,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina de Oliveira Castro,adams,04/10/1900,Castorina de Oliveira Castro,Tiff,CLS SOC DOS6 CP86||BR FCRB
15,BRA,Família Oliveira Castro||Coleção Lúcia Sanson,Malusardi,adams,s/d,Malusardi,Tiff,CLS SOC DOS6 CP87||BR FCRB
16,ESP,Família Oliveira Castro||Coleção Lúcia Sanson,Stengel & Co.,adams,15/01/1907,Stengel & Co.,Tiff,CLS SOC DOS6 CP81||BR FCRB
17,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina de Oliveira Castro,adams,22 /07/1908,Castorina de Oliveira Castro,Tiff,CLS SOC DOS6 CP82||BR FCRB
18,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,Libraire Papeterie Carnot,adams,03/09/1906,Libraire Papeterie Carnot,Tiff,CLS SOC DOS6 CP83||BR FCRB
19,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,,adams,12/01/1907,,Tiff,CLS SOC DOS6 CP84||BR FCRB
20,,Família Oliveira Castro||Coleção Lúcia Sanson,Manoel Pontes Camara,adams,s/d,Manoel Pontes Camara,Tiff,CLS SOC DOS6 CP76||BR FCRB
21,FRA,Coleção Lúcia Sanson,Foucachon,adams,S/d,Foucachon,Tiff,CLS SOC DOS6 CP77||BR FCRB
22,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,Foucachon,adams,00/02/07,Foucachon,Tiff,CLS SOC DOS6 CP78||BR FCRB
23,ALG,Família Oliveira Castro||Coleção Lúcia Sanson,J. Geiser,adams,S/d,J. Geiser,Tiff,CLS SOC DOS6 CP79||BR FCRB
24,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,Giletto,adams,s/d,Giletto,Tiff,CLS SOC DOS6 CP8||BR FCRB
25,ESP,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina de Oliveira Castro,adams,s/d,Castorina de Oliveira Castro,Tiff,CLS SOC DOS6 CP80||BR FCRB
26,URU,Família Oliveira Castro||Coleção Lúcia Sanson,Manoel Pontes Camara,adams,23/11/904,Manoel Pontes Camara,Tiff,CLS SOC DOS6 CP71||BR FCRB
27,ITA,Família Oliveira Castro||Coleção Lúcia Sanson,José Mendes de Oliveira Castro II,adams,S/d,José Mendes de Oliveira Castro II,Tiff,CLS SOC DOS6 CP72||BR FCRB
28,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,Musee d'Louvre,adams,01/071914,Musee d'Louvre,Tiff,CLS SOC DOS6 CP73||BR FCRB
29,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Manoel Pontes Camara,adams,S/d,Manoel Pontes Camara,Tiff,CLS SOC DOS6 CP74||BR FCRB
30,,Família Oliveira Castro||Coleção Lúcia Sanson,Manoel Pontes Camara,adams,11/12/1909,Manoel Pontes Camara,Tiff,CLS SOC DOS6 CP75||BR FCRB
31,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,Maria de Oliveira Castro Moreira,adams,00/00/1905,Maria de Oliveira Castro Moreira,Tiff,CLS SOC DOS6 CP64||BR FCRB
32,,Família Oliveira Castro||Coleção Lúcia Sanson,BCI,adams,S/d,BCI,Tiff,CLS SOC DOS6 CP68||BR FCRB
33,ESP,Família Oliveira Castro||Coleção Lúcia Sanson,Família Oliveira Castro,adams,04/04/1901,Família Oliveira Castro,Tiff,CLS SOC DOS6 CP69||BR FCRB
34,DEU,Família Oliveira Castro||Coleção Lúcia Sanson,Manoel Pontes Camara,adams,18/08/1907,Manoel Pontes Camara,Tiff,CLS SOC DOS6 CP7||BR FCRB
35,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,Foucachon,adams,23/02/1907,Foucachon,Tiff,CLS SOC DOS6 CP70||BR FCRB
36,PRT,Família Oliveira Castro||Coleção Lúcia Sanson,Maria de Oliveira Castro Moreira,adams,s/d,Maria de Oliveira Castro Moreira,Tiff,CLS SOC DOS6 CP61||BR FCRB
37,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Maria de Oliveira Castro Moreira,adams,31/00/01,Maria de Oliveira Castro Moreira,Tiff,CLS SOC DOS6 CP62||BR FCRB
38,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Maria de Oliveira Castro Moreira,adams,s/d,Maria de Oliveira Castro Moreira,Tiff,CLS SOC DOS6 CP63||BR FCRB
39,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Maria de Oliveira Castro Moreira,adams,s/d,Maria de Oliveira Castro Moreira,Tiff,CLS SOC DOS6 CP64||BR FCRB
40,ESP,Família Oliveira Castro||Coleção Lúcia Sanson,Maria de Oliveira Castro Moreira,adams,21/06/06,Maria de Oliveira Castro Moreira,Tiff,CLS SOC DOS6 CP65||BR FCRB
41,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,Weltpost Verein,adams,18/06/1906,Weltpost Verein,Tiff,CLS SOC DOS6 CP66||BR FCRB
42,GBR,"Família Oliveira Castro  ,  Praia  ,  Orla||Coleção Lúcia Sanson",Família Oliveira Castro,adams,s/d,Família Oliveira Castro,Tiff,CLS SOC DOS6 CP58||BR FCRB
43,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,Hotel Majestic,adams,00/00/1907,Hotel Majestic,Tiff,CLS SOC DOS6 CP59||BR FCRB
44,DEU,Família Oliveira Castro||Coleção Lúcia Sanson,Maria de Oliveira Castro Moreira,adams,s/d,Maria de Oliveira Castro Moreira,Tiff,CLS SOC DOS6 CP6||BR FCRB
45,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Maria de Oliveira Castro Moreira,adams,16/07/07,Maria de Oliveira Castro Moreira,Tiff,CLS SOC DOS6 CP60||BR FCRB
46,BEL,Família Oliveira Castro||Coleção Lúcia Sanson,Família Oliveira Castro,adams,s/d,Família Oliveira Castro,Tiff,CLS SOC DOS6 CP53||BR FCRB
47,DEU,Família Oliveira Castro||Coleção Lúcia Sanson,,adams,s/d,,Tiff,CLS SOC DOS6 CP54||BR FCRB
48,BRA,Família Oliveira Castro||Coleção Lúcia Sanson,Família Oliveira Castro,adams,16/08/1906,Família Oliveira Castro,Tiff,CLS SOC DOS6 CP55||BR FCRB
49,BEL,Família Oliveira Castro||Coleção Lúcia Sanson,,adams,s/d,,Tiff,CLS SOC DOS6 CP56||BR FCRB
50,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Família Oliveira Castro,adams,27/04/06,Família Oliveira Castro,Tiff,CLS SOC DOS6 CP57||BR FCRB
51,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,LESCO,adams,s/d,LESCO,Tiff,CLS SOC DOS6 CP47||BR FCRB
52,ALE,"Virgem  ,  Madonna||Coleção Lúcia Sanson",Stengel & Co.,adams,25/09/1908,Stengel & Co.,Tiff,CLS SOC DOS6 CP48||BR FCRB
53,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,Barão de Oliveira Castro,adams,s/d,Barão de Oliveira Castro,Tiff,CLS SOC DOS6 CP49||BR FCRB
54,ALE,Família Oliveira Castro||Coleção Lúcia Sanson,Rathaus,adams,20/08/06,Rathaus,Tiff,CLS SOC DOS6 CP5||BR FCRB
55,FRA,"Família Oliveira Castro  ,  Neve||Coleção Lúcia Sanson",J. T. D.,adams,00/00/1907,J. T. D.,Tiff,CLS SOC DOS6 CP50||BR FCRB
56,GBR,"Família Oliveira Castro  ,  Praia||Coleção Lúcia Sanson",Família Oliveira Castro,adams,09/11/06,Família Oliveira Castro,Tiff,CLS SOC DOS6 CP51||BR FCRB
57,ITA,Família Oliveira Castro||Coleção Lúcia Sanson,Stengel & Co.,adams,s/d,Stengel & Co.,Tiff,CLS SOC DOS6 CP52||BR FCRB
58,BRA,Família Oliveira Castro||Coleção Lúcia Sanson,Ed. Malusardi,adams,s/d,,Tiff,CLS SOC DOS6 CP42||BR FCRB
59,BEL,Família Oliveira Castro||Coleção Lúcia Sanson,Ed. Broekaert,adams,s/d,,Tiff,CLS SOC DOS6 CP43||BR FCRB
60,ESP,Família Oliveira Castro||Coleção Lúcia Sanson,Houser Y Menet,adams,15/03/1901,Houser Y Menet,Tiff,CLS SOC DOS6 CP44||BR FCRB
61,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Georg Stilke,adams,13/10/06,Georg Stilke,Tiff,CLS SOC DOS6 CP45||BR FCRB
62,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,,adams,00/00/1906,,Tiff,CLS SOC DOS6 CP46||BR FCRB
63,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,T. S. N.,adams,00/00/1907,T. S. N.,Tiff,CLS SOC DOS6 CP37||BR FCRB
64,BEL,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,23/08/1905,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP38||BR FCRB
65,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,10/04/01,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP39||BR FCRB
66,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,RMSP Amazon,adams,s/d,RMSP Amazon,Tiff,CLS SOC DOS6 CP4||BR FCRB
67,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,Manuel Pontes Camara,adams,s/d,Manuel Pontes Camara,Tiff,CLS SOC DOS6 CP40||BR FCRB
68,DEU,Família Oliveira Castro||Coleção Lúcia Sanson,Manuel Pontes Camara,adams,11/08/06,Manuel Pontes Camara,Tiff,CLS SOC DOS6 CP41||BR FCRB
69,PRT,Família Oliveira Castro||Coleção Lúcia Sanson,Costa,adams,01/10/1905,Costa,Tiff,CLS SOC DOS6 CP30||BR FCRB
70,FRA,"Família Oliveira Castro  ,  Camponês||Coleção Lúcia Sanson",Raphael Tuck & Fils Ltd.,adams,13/06/1907,Raphael Tuck & Fils Ltd.,Tiff,CLS SOC DOS6 CP31||BR FCRB
71,FRA,"Família Oliveira Castro  ,  Camponês||Coleção Lúcia Sanson",Raphael Tuck & Fils Ltd.,adams,13/06/1907,Raphael Tuck & Fils Ltd.,Tiff,CLS SOC DOS6 CP32||BR FCRB
72,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,Foucachon,adams,s/d,Foucachon,Tiff,CLS SOC DOS6 CP33||BR FCRB
73,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,E. Killinger & Favret,adams,s/d,E. Killinger,Tiff,CLS SOC DOS6 CP34||BR FCRB
74,DEU,Família Oliveira Castro||Coleção Lúcia Sanson,B. W. & Cie.,adams,s/d,B. W. & Cie.,Tiff,CLS SOC DOS6 CP35||BR FCRB
75,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,Giletta,adams,2/02/1907,Giletta,Tiff,CLS SOC DOS6 CP36||BR FCRB
76,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,s/d,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP24||BR FCRB
77,DEU,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,s/d,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP25||BR FCRB
78,BRA,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,s/d,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP26||BR FCRB
79,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,s/d,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP27||BR FCRB
80,BRA,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,23/10/1906,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP28||BR FCRB
81,BRA,"Família Oliveira Castro  ,  RIo Antigo||Coleção Lúcia Sanson",Castorina Oliveira Castro,adams,s/d,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP29||BR FCRB
82,ITA,Família Oliveira Castro||Coleção Lúcia Sanson,Stengel & Co.,adams,s/d,Stengel & Co.,Tiff,CLS SOC DOS6 CP3||BR FCRB
83,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,s/d,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP20||BR FCRB
84,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,s/d,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP21||BR FCRB
85,BRA,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,21/04/1907,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP22||BR FCRB
86,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,21/04/1907,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP23||BR FCRB
87,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,26/09/1906,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP16||BR FCRB
88,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,,adams,13/01/1908,,Tiff,CLS SOC DOS6 CP17||BR FCRB
89,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,00/00/1907,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 C18||BR FCRB
90,ARG,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,07/07/06,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP19||BR FCRB
91,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,s/d,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP2||BR FCRB
92,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,B. C. I.,adams,s/d,B. C. I.,Tiff,CLS SOC DOS6 CP137||BR FCRB
93,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,B. C. I.,adams,s/d,B. C. I.,Tiff,CLS SOC DOS6 CP138||BR FCRB
94,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,G. Broekaert,adams,s/d,G. Broekaert,Tiff,CLS SOC DOS6 CP14||BR FCRB
95,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,s/d,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP15||BR FCRB
96,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,s/d,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 C13||BR FCRB
97,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Convent of Notre Dame,adams,16/09/1906,Convent of Notre Dame,Tiff,CLS SOC DOS6 CP130||BR FCRB
98,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Convent of Notre Dame,adams,s/d,Convent of Notre Dame,Tiff,CLS SOC DOS6 CP131||BR FCRB
99,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Convent of Notre Dame,adams,00/011906,Convent of Notre Dame,Tiff,CLS SOC DOS6 CP132||BR FCRB
100,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Convent of Notre Dame,adams,s/d,Convent of Notre Dame,Tiff,CLS SOC DOS6 CP133||BR FCRB
