,Assunto/ palavras-chave,Data,Título
0,Série Depoimentos||Entrevista,,Entrevista com Paulo Autran – Segunda Parte
1,Série Depoimentos||Entrevista,,Entrevista com Paulo Autran – Primeira Parte
2,Série Depoimentos||Entrevista,,Entrevista com Tônia Carrero – Segunda Parte
3,Série Depoimentos||Entrevista,,Entrevista com Tônia Carrero – Primeira Parte
4,Série Depoimentos||Entrevista,,Entrevista com Nelson Rodrigues – Terceira parte
5,Série Depoimentos||Entrevista,,Entrevista com Nelson Rodrigues – Segunda Parte
6,Série Depoimentos||Entrevista,,Entrevista com Nelson Rodrigues – Primeira Parte
7,Série Depoimentos||Entrevista,,Entrevista com Walter Pinto – Quarta Parte
8,Série Depoimentos||Entrevista,,Entrevista com Walter Pinto – Terceira Parte
9,Série Depoimentos||Entrevista,,Entrevista com Walter Pinto – Segunda Parte
10,Série Depoimentos||Entrevista,,Entrevista com Walter Pinto – Primeira Parte
11,Série Depoimentos||Entrevista,,Entrevista com Henriette Morineau – Primeira Parte
12,Série Depoimentos||Entrevista,,Entrevista com Henriette Morineau – Segunda Parte
13,Série Depoimentos||Entrevista,,Entrevista com Henriette Morineau – Terceira Parte
14,Série Depoimentos||Entrevista,,Entrevista com Cleyde Yáconis – Primeira Parte
15,Série Depoimentos||Entrevista,,Entrevista com Cleyde Yáconis – Segunda Parte
16,Sala Funarte,1983.0,O Dragão Mágico
17,Sala Funarte,1983.0,Pra Mode Chatear
18,Sala Funarte,1983.0,Questão de Tempo
19,Sala Funarte,1983.0,Relembrando
20,Sala Funarte,1983.0,Samba do Avião / Corcovado / Cidade Mulher
21,Sala Funarte,1983.0,"Samba Rubo-Negro / Sei lá, Mangueira"
22,Sala Funarte,1983.0,Acender as Velas
23,Sala Funarte,1983.0,Bye Bye Brasil
24,Sala Funarte,1983.0,Como Será?
25,Sala Funarte,1983.0,Fuga
26,Sala Funarte,1983.0,Fugata
27,Sala Funarte,1983.0,Isso é o Brasil
28,Sala Funarte,1983.0,Meu Cantar
29,Sala Funarte,1983.0,Não tem Tradução / Fundo Azul
30,Sala Funarte,1983.0,Pé de Moleque
31,Sala Funarte,1983.0,Tem Gato na Tuba / A Banda / João e Maria
32,Sala Funarte,1983.0,Valsa Triste
33,Sala Funarte,1985.0,Grande Gala – Vaidosa
34,Sala Funarte,1985.0,Grande Gala – Canhoto
35,Sala Funarte,1985.0,Grande Gala – Concertino nº2 Allegro Moderato
36,Sala Funarte,1985.0,Grande Gala – Concertino nº2 Adágio
37,Sala Funarte,1985.0,Grande Gala – Concertino nº 2 (Presto)
38,Sala Funarte,1985.0,Grande Gala – Desvairada
39,Sala Funarte,1985.0,Grande Gala – Trenzinho do Caipira
40,Sala Funarte,1985.0,Grande Gala – Alvorada
41,Sala Funarte,1985.0,Grande Gala – Primeiro Amor
42,Sala Funarte,1985.0,Grande Gala – Remexendo
43,Sala Funarte,1985.0,Grande Gala – Pé de Moleque
44,Sala Funarte,1985.0,Grande Gala – Um a Zero
45,Sala Funarte,1985.0,Grande Gala – Um a Zero (Bis)
46,Projeto Pixinguinha||Ao Vivo,,Avenidas
47,Projeto Pixinguinha||Ao Vivo,,Coisas da vida
48,Projeto Pixinguinha||Ao Vivo,,Dentro de mim mora um anjo/ Emoriô
49,Projeto Pixinguinha||Ao Vivo,,Haragana
50,Projeto Pixinguinha||Ao Vivo,,Sedução
51,Projeto Pixinguinha||Ao Vivo,,Raça
52,Projeto Pixinguinha||Ao Vivo,,A página do relâmpago elétrico
53,Projeto Pixinguinha||Ao Vivo,,Feira moderna
54,Projeto Pixinguinha||Ao Vivo,,Nascente
55,Projeto Pixinguinha||Ao Vivo,1978.0,Abra seus olhos
56,Projeto Pixinguinha||Ao Vivo,1978.0,"Coisas do mundo, minha nega"
57,Projeto Pixinguinha||Ao Vivo,1978.0,Foi um rio que passou em minha vida
58,Projeto Pixinguinha||Ao Vivo,1978.0,Argumento
59,Projeto Pixinguinha||Ao Vivo,1978.0,Para um amor no Recife
60,Projeto Pixinguinha||Ao Vivo,1978.0,Visitando o Recife
61,Projeto Pixinguinha||Ao Vivo,1978.0,Todo cuidado é pouco
62,Projeto Pixinguinha||Ao Vivo,1978.0,Corrinha
63,Projeto Pixinguinha||Ao Vivo,1978.0,Choro na madrugada
64,Projeto Pixinguinha||Ao Vivo,1978.0,Mulher rendeira/ Disparada
65,Projeto Pixinguinha||Ao Vivo,1978.0,Subindo ao céu
66,Projeto Pixinguinha||Ao Vivo,1978.0,Com mais de mil
67,Projeto Pixinguinha||Ao Vivo,1978.0,Escadaria
68,Projeto Pixinguinha||Ao Vivo,1978.0,Acerta o passo
69,Projeto Pixinguinha||Ao Vivo,1978.0,Cantando
70,Projeto Pixinguinha||Ao Vivo,1978.0,Meu novo sapato
71,Projeto Pixinguinha||Ao Vivo,1978.0,Arvoredo
72,Projeto Pixinguinha||Ao Vivo,1978.0,Coração leviano
73,Projeto Pixinguinha||Ao Vivo,1978.0,Perdoa
74,Projeto Pixinguinha||Ao Vivo,1978.0,Sinal fechado
75,Projeto Pixinguinha||Ao Vivo,1978.0,Pisando em brasa
76,Foto Carlos||Entrevista,1976.0,"Maria Clara Machado, entrevista para Série Depoimentos – Primeira Parte"
77,Foto Carlos||Entrevista,1976.0,Maria Clara Machado Entrevista para Série Depoimentos – Segunda Parte
78,Foto Carlos||Entrevista,1976.0,"Maria Clara Machado, entrevista para Série Depoimentos – Terceira Parte"
79,Discos Projeto Almirante,1982.0,"Pois é, pra quê?"
80,Discos Projeto Almirante,1982.0,A estrada e o violeiro
81,Discos Projeto Almirante,1988.0,Ora Vejam Só
82,Discos Projeto Almirante,1988.0,Amar a Uma Só Mulher
83,Discos Projeto Almirante,1988.0,O Bobalhão
84,Discos Projeto Almirante,1988.0,Eu Ouço Falar
85,Discos Projeto Almirante,1988.0,A Favela Vai Abaixo
86,Discos Projeto Almirante,1988.0,Não Quero Saber Mais Dela
87,Discos Projeto Almirante,1988.0,Sonho de Gaúcho
88,Discos Projeto Almirante,1988.0,A Medida do Senhor do Bonfim
89,Discos Projeto Almirante,1988.0,Burro de Carga
90,Discos Projeto Almirante,1988.0,Cansei
91,Discos Projeto Almirante,1988.0,Gosto Que Me Enrosco
92,Discos Projeto Almirante,1988.0,Já é Demais
93,Discos Projeto Almirante,1988.0,Jura
94,Discos Projeto Almirante,1988.0,Sabiá
95,Discos Projeto Almirante,,01- Interrogando
96,Discos Projeto Almirante,,02 – Mimoso
97,Discos Projeto Almirante,,03 – Sonho de magia
98,Discos Projeto Almirante,,04 – Graúna
99,Discos Projeto Almirante,,05 – Choro em sol
100,Discos Projeto Almirante,,06 – Sentindo
101,Discos Projeto Almirante,,07 – Rosa carioca
102,Discos Projeto Almirante,,08 – Brasileirinho
103,Discos Projeto Almirante,,09 – Dengoso
104,Discos Projeto Almirante,,10 – Valsa em lá
105,Discos Projeto Almirante,,11 – Sons de carrilhões
106,Discos Projeto Almirante,,12 – A estrada do sertão
107,Discos PRO-MEMUS,1979.0,VillaLobos – 03 – 2a Sonata fantasia – Largo moderato
108,Discos PRO-MEMUS,1979.0,09 – Regresso pacífico
109,Discos PRO-MEMUS||Quinteto,1979.0,Quinteto Para Instrumentos de Sopro – I Allegro
110,Discos PRO-MEMUS||Quinteto,1979.0,Quinteto Para Instrumentos de Sopro – II Adantino
111,Discos PRO-MEMUS||Quinteto,1979.0,Quinteto Para Instrumentos de Sopro – III Tempo de Coco
112,Discos PRO-MEMUS||Quinteto,1979.0,Suite Para Quinteto de Sopro – I Prelúdio
113,Discos PRO-MEMUS||Quinteto,1979.0,Suite Para Quinteto de Sopro – II Valsa
114,Discos PRO-MEMUS||Quinteto,1979.0,Suite Para Quinteto de Sopro – III Modinha
115,Discos PRO-MEMUS||Quinteto,1979.0,Suite Para Quinteto de Sopro – IV Choro
116,Discos PRO-MEMUS||Quinteto,1979.0,Suite Para Quinteto de Sopro – V Final
117,Discos PRO-MEMUS||Quinteto,1979.0,Quinteto para sopros – I Noturno
118,Discos PRO-MEMUS||Quinteto,1979.0,Quinteto para sopros – II Dança
119,Discos PRO-MEMUS||Quinteto,1979.0,Quinteto para sopros – III Epílogo
120,Discos PRO-MEMUS||Documentos da Música Brasileira Nº. 7,1979.0,Música de Câmara do Brasil 01 – Quarteto nº. 1 em si menor – Alegro agitado
121,Discos PRO-MEMUS||Documentos da Música Brasileira Nº. 7,1979.0,Música de Câmara do Brasil 02 – Quarteto nº. 1 em si menor – Andante
122,Discos PRO-MEMUS||Documentos da Música Brasileira Nº. 7,1979.0,Música de Câmara do Brasil 03 – Quarteto nº. 1 em si menor – Sherzo
123,Discos PRO-MEMUS||Documentos da Música Brasileira Nº. 7,1979.0,Música de Câmara do Brasil 04 – Quarteto nº. 1 em si menor – Allegro spirituoso
124,Discos PRO-MEMUS||Documentos da Música Brasileira Nº. 7,1979.0,Música de Câmara do Brasil 05 – Quarteto nº. 3 em ré menor – Allegro moderato
125,Discos PRO-MEMUS||Documentos da Música Brasileira Nº. 7,1979.0,Música de Câmara do Brasil 06 – Quarteto nº. 3 em ré menor – Andante
126,Discos PRO-MEMUS||Documentos da Música Brasileira Nº. 7,1979.0,Música de Câmara do Brasil 07 – Quarteto nº. 3 em ré menor – Intermezzo
127,Discos PRO-MEMUS||Documentos da Música Brasileira Nº. 7,1979.0,Música de Câmara do Brasil 08 – Quarteto nº. 3 em ré menor – Allegretto
128,Discos PRO-MEMUS||Documentos da Música Brasileira,1979.0,Concertino para Fagote e Orquestra
129,Discos PRO-MEMUS||Documentos da Música Brasileira,1979.0,Leilão Bailado
130,Discos PRO-MEMUS||Documentos da Música Brasileira,1979.0,Fantasia Brasileira para Piano e Orquestra
131,Discos PRO-MEMUS||Documentos da Música Brasileira,1979.0,Música nº1
132,Discos PRO-MEMUS||Missa,1982.0,Missa de Santa Cecília – Kyrie
133,Discos PRO-MEMUS||Missa,1972.0,"Missa de Santa Cecília – Gloria et in terra, Laudamus te, Gratias"
134,Discos PRO-MEMUS||Missa,1982.0,"Missa de Santa Cecília – Gloria (cont.) Domine Deus, Qui Tollis, Qui Sedes"
135,Discos PRO-MEMUS||Missa,1982.0,"Missa de Santa Cecília – Gloria (cont.) Quoniam, Cum Sancto Spiritu"
136,Discos PRO-MEMUS||Missa,1982.0,Missa de Santa Cecília – Credo
137,Discos PRO-MEMUS||Missa,1982.0,Missa de Santa Cecília – Credo (cont.)
138,Discos PRO-MEMUS||Missa,1982.0,"Missa de Santa Cecília – Sanctus, Benedictus, Agnus Dei"
139,Cenário e Figurino||Entrevista,2006.0,Entrevista Beatrice Tanaka
140,Cenário e Figurino||Entrevista,1977.0,Entrevista de Anísio Medeiros para a Série Depoimentos (Parte 2)
141,Cenário e Figurino||Entrevista,1977.0,Entrevista de Anísio Medeiros para a Série Depoimentos (Parte 3)
142,Cenário e Figurino||Entrevista,1977.0,Entrevista de Anísio Medeiros para a Série Depoimentos (Parte 4)
143,Cenário e Figurino||Entrevista,1977.0,Entrevista de Anísio Medeiros para a Série Depoimentos
144,Cenário e Figurino||Depoimento,1975.0,Depoimento Pernambuco de Oliveira no SNT - parte 2
145,Cenário e Figurino||Depoimento,1975.0,Depoimento Pernambuco de Oliveira no SNT - parte 3
146,Cenário e Figurino||Depoimento,1975.0,Depoimento Pernambuco de Oliveira no SNT
147,Augusto Boal||Documento Sonoro do Folclore Brasileiro,1982.0,Discos Folclore – Documento Sonoro do Folclore Brasileiro – Vol.5 – Capoeiristas de Santo Amaro da Purificação (BA) – Iúna
148,Atores do Brasil||Entrevista,2006.0,Entrevista Dercy Gonçalves
149,Atores do Brasil||Entrevista,2006.0,Entrevista Ankito
150,Atores do Brasil||Entrevista,2006.0,Entrevista Eva Todor
151,Atores do Brasil||Entrevista,2006.0,Entrevista com Carmen Silva
152,Atores do Brasil||Entrevista,2006.0,Entrevista Tonia Carrero
153,Atores do Brasil||Entrevista,2006.0,Entrevista com Sergio Britto
154,Atores do Brasil||Entrevista,2006.0,Entrevista Ruth De Souza
155,Atores do Brasil||Entrevista,2006.0,Entrevista Virginia Lane
156,Atores do Brasil||Entrevista,2006.0,Entrevista Paulo Autran
157,Atores do Brasil||Entrevista,2006.0,Entrevista Maria Della Costa
158,Atores do Brasil||Entrevista,2006.0,Entrevista Ida Gomes
159,Atores do Brasil||Entrevista,2006.0,Entrevista Geninha Rosa Borges
160,Atores do Brasil||Entrevista,2006.0,Entrevista Sergio Viotti
161,Atores do Brasil||Depoimento,2006.0,Depoimento de Paulo Autran Sobre Dulcina
162,Atores do Brasil||Depoimento,2006.0,Depoimento Eva Todor Sobre Dulcina
163,Atores do Brasil||Entrevista,2006.0,Entrevista Walter Pinto - 4a parte - final
164,Atores do Brasil||Entrevista,2006.0,Entrevista Walter Pinto - 3a parte
165,Atores do Brasil||Entrevista,2006.0,Entrevista Walter Pinto - 2a parte
166,Atores do Brasil||Entrevista,2006.0,Entrevista Walter Pinto - 1a parte
167,Atores do Brasil||Entrevista,2006.0,Entrevista Miriam Teresa e Carlos Loffler
168,Atores do Brasil||Entrevista,2006.0,Entrevista Geninha Rosa Borges
169,Atores do Brasil||Entrevista,2006.0,Entrevista Nydia Licia
170,Atores do Brasil||Entrevista,2006.0,Entrevista Oswaldo Louzada
171,Atores do Brasil||Entrevista,2006.0,Entrevista Carlos Manga
