,Abrangência/ Cobertura,Data
0,,
1,Rio de Janeiro||Bagé||Rio de Janeiro||Rio Grande do Sul||Brasil||Brasil,03/05/1929||03/19/2004
2,Montevidéu||Uruguai,12/31/1971
3,Guimarânia||Minas Gerais||Brasil,10/18/1963
4,Blumenau||Santa Catarina||Brasil,04/20/1953
5,Taió||Santa Catarina||Brasil,1969
6,Chopinzinho||Paraná||Brasil,1987
7,Belém||Pará||Brasil,1961
8,Florianópolis||Santa Catarina||Brasil,01/10/1979
9,Paris||Paris||França||França,29/08/1794||20/11/ 1880
10,Rio de Janeiro||Santa Maria||Rio de Janeiro||Rio Grande do Sul||Brasil||Brasil,06/21/1920||04/28/2001
11,Rio de Janeiro||Rio de Janeiro||Brasil,1952
12,Rio de Janeiro||Rio de Janeiro||Brasil,1974
13,Londrina||Paraná||Brasil,1979
14,França,1756||1788
15,São Paulo||Fortaleza||São Paulo||Ceará||Brasil||Brasil,03/01/1957||05/28/1993
16,Belo Horizonte||Minas Gerais||Brasil,11/19/1962
17,Xanxerê||Santa Catarina||Brasil,05/23/1982
18,Londrina||Paraná||Brasil,02/03/1977
19,Rio de Janeiro||Lódz||Rio de Janeiro||Polônia||Brasil,14/09/1920||09/13/2001
20,São Paulo||São Fidélis||São Paulo||Rio de Janeiro||Brasil||Brasil,27/08/1827||01/17/1939
21,Ile de France||Serro||Paris||Minas Gerais||Brasil||França,22/05/1858||06/12/1935
22,Rio de Janeiro||Rio de Janeiro||Rio de Janeiro||Rio de Janeiro||Brasil||Brasil,01/12/1854||06/21/1931
23,Niterói||Niterói||Rio de Janeiro||Rio de Janeiro||Brasil||Brasil,20/01/1860||10/17/1937
24,Rio de Janeiro||Campânia||Rio de Janeiro||Salerno||Itália||Brasil,30/07/1866||10/15/1944
25,Rio de Janeiro||Rio de Janeiro||Brasil,11/11/1955
26,Ponta Grossa||Paraná||Brasil,02/15/1978
27,Rio de Janeiro||Rio de Janeiro||Brasil,11/06/1946
28,São Paulo||São Paulo||Brasil,12/03/1961
29,Paranavaí||Paraná||Brasil,10/09/1967
30,São Paulo||São Paulo||Brasil,10/03/1978
31,Barretos||São Paulo||Brasil,06/20/1960
32,Roma||Faenza||Itália||Itália,04/12/1787||12/01/1871
33,São Paulo||São Simão||São Paulo||São Paulo||Brasil||Brasil,23/09/1925||06/21/2013
34,São Paulo||São Paulo||Brasil,1964
35,São Paulo||São Paulo||Brasil,1979
36,Rio Grande||Rio Grande do Sul||Brasil,11/29/1965
37,Criciuma||Santa Catarina||Brasil,08/18/1978
38,São Paulo||São Paulo||Brasil,1961
39,Curitiba||Paraná||Brasil,
40,Sant'Anna do Livramento||Rio Grande do Sul||Brasil,01/23/1963
41,Buenos Aires||Buenos Aires||Argentina,03/25/1973
42,São Joaquim||Rio Grande do Sul||Brasil,1974
43,Adamantina||São Paulo||Brasil,08/19/1960
44,Blumenau||Santa Catarina||Brasil,01/22/1959
45,Rio de Janeiro||São Paulo||Rio de Janeiro||São Paulo||Brasil||Brasil,08/04/1909||06/04/1994
46,Alcamo||Sicília||Itália,08/05/1929
47,São Leopoldo||Rio Grande do Sul||Brasil,1964
48,Parnaíba||Piauí||Brasil,1958
49,Porto Alegre||Rio Grande do Sul||Brasil,1961
50,Curitiba||Paraná||Brasil,1969
51,Florianópolis||Santa Catarina||Brasil,11/5/1956
52,Florianópolis||Florianópolis||Santa Catarina||Santa Catarina||Brasil||Brasil,11/13/1949||12/08/2005
53,Porto Alegre||Rio Grande do Sul||Brasil,1949
54,Blumenau||Blumenau||Santa Catarina||Santa Catarina||Brasil||Brasil,08/10/1940||02/12/1994
55,Porto Alegre||Rio Grande do Sul||Brasil,05/22/1978
56,Indaial||Santa Catarina||Brasil,05/31/1975
57,São Paulo||São Paulo||Brasil,1946
58,Florianópolis||Curitiba||Santa Catarina||Paraná||Brasil||Brasil,07/27/1926||01/20/2001
59,Florianópolis||Florianópolis||Santa Catarina||Santa Catarina||Brasil||Brasil,01/15/1919||1999
60,São Paulo||São Paulo||Brasil,12 de fevereiro
61,São Paulo||São Paulo||Brasil,1956
62,Rio de Janeiro||Rio de Janeiro||Brasil,25 de dezembro
63,Rio de Janeiro||Rio de Janeiro||Brasil,1953
64,São Paulo||São Paulo||Brasil,08/08/1956
65,Blumenau||Santa Catarina||Brasil,
66,Alcântara||Maranhão||Brasil,1926
67,Dom Feliciano||Rio Grande do Sul||Brasil,03/05/1947
68,Imbituba||Santa Catarina||Brasil,1961
69,Barra Mansa||Rio de Janeiro||Brasil,09/05/1950
70,São Leopoldo||Rio Grande do Sul||Brasil,02/22/1956
71,Barretos||São Paulo||Brasil,10/29/1958
72,Belo Horizonte||Paraisópolis||Minas Gerais||Minas Gerais||Brasil||Brasil,06/08/1920||11/21/2002
73,Marília||São Paulo||Brasil,07/24/1948
74,Florianópolis||Piracicaba||Santa Catarina||São Paulo||Brasil||Brasil,02/24/1953||10/14/2016
75,Paraná||Brasil,
76,São Paulo||São Paulo||Brasil,11/12/1946
77,Curitiba||Paraná||Brasil,07/25/1938
78,Sant'Anna do Livramento||Rio Grande do Sul||Brasil,00/00/1960
79,Engenheiro Beltrão||Paraná||Brasil,00/00/1960
80,Florianópolis||Florianópolis||Santa Catarina||Santa Catarina||Brasil||Brasil,06/03/1925||06/09/2004
81,Porto Alegre||Rio Grande do Sul||Brasil,02/11/1964
82,Rio de Janeiro||Lisboa||Rio de Janeiro||Portugal||Brasil,10/11/1841||03/23/1923
83,Rio de Janeiro||Nossa Senhora do Desterro (atual Florianópolis)||Rio de Janeiro||Santa Catarina||Brasil||Brasil,18/08/1832||22/02/1903
