,Abrangência/ Cobertura,Assunto/ palavras-chave,Descrição,Identifier,Título
53,"João Pessoa, Paraíba (PB)
","Obras
||Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Varadouro||Rua Padre Antônio Pereira||Ladeira de São Frei Pedro Gonçalves||Intervenção||Fotografias
","Fotografia COR; 15 x 10 cm
||[Prospecção arqueológica]
","F000129
","Imóvel à Praça São Frei Pedro Gonçalves, nº 02 ﻿"
54,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Rosa Gomes||Setor Carmo||Setor Santa Bárbara||textual
","03 folhas textuais.
||Documentação abrangendo o período de 2011 - 2014.
",,"Imóvel à Rua Hugo Ramos, nº 07"
55,"João Pessoa, Paraíba (PB)
","Obras
||Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Varadouro||Rua Padre Antônio Pereira||Ladeira de São Frei Pedro Gonçalves||Intervenção||Fotografias
","Fotografia COR; 15 x 10 cm
||[Prospecção arquitetônica]
","F000128
","Imóvel à Praça São Frei Pedro Gonçalves, nº 02 ﻿"
56,"João Pessoa, Paraíba (PB)
","Obras
||Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Varadouro||Rua Padre Antônio Pereira||Ladeira de São Frei Pedro Gonçalves||Intervenção||Fotografias
","Fotografia COR; 15 x 10 cm
||[Prospecção arqueológica]
","F000126
","Imóvel à Praça São Frei Pedro Gonçalves, nº 02 ﻿"
57,"João Pessoa, Paraíba (PB)
","Obras
||Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Varadouro||Rua Padre Antônio Pereira||Ladeira de São Frei Pedro Gonçalves||Intervenção||Fotografias
","Fotografia COR; 15 x 10 cm
||[Prospecção arqueológica]
","F000127
","Imóvel à Praça São Frei Pedro Gonçalves, nº 02 ﻿"
58,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Área de Entorno||textual
","07 folhas textuais.
||Requerimento e parecer.
",,"Imóvel à Avenida Deusdeth Ferreira de Moura, s/n (2)"
59,"Goiás, Goiás (GO)
","Obras
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Intervenção||Rua Direita do Palácio||Setor Santana||textual
","27 folhas textuais.
||Documentação abrangendo o período de 1987 - 2015.
",,"Imóvel à Rua Moretti Foggia, nº 03"
60,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Rosa Gomes||Rua Santa Bárbara||Setor Carmo||textual
","02 folhas textuais.
||Documentação referente ao ano de 2003.
",,"Imóvel à Rua Hugo Ramos, nº 44"
61,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Rosa Gomes||Setor Carmo||Setor Santa Bárbara||textual
","02 folhas textuais.
||Documentação referente ao ano de 2011.
",,"Imóvel à Rua Hugo Ramos, nº 24"
62,"Goiás, Goiás (GO)
","Identificação
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Cadastro de Bens Culturais Imóveis||Inventário Nacional de Bens Imóveis||textual
","03 folhas textuais; 01 foto; 01 planta.
||Documentação abrangendo o período de 1996 -1997.
",,"Imóvel à Rua da Carioca, s/n (3)"
63,"Goiás, Goiás (GO)
","Obras
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Intervenção||Notificação||Programa MONUMENTA||Rua do Ouvidor||textual
","05 folhas textuais; 02 fotografias; 01 planta.
||Documentação abrangendo o período de 2001 - 2008.
",,"Imóvel à Rua Senador Eugênio Jardim, nº 12"
64,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Área de Entorno||textual
","12 folhas textuais; 01 planta.
||Documentação abrangendo o período de 2014 - 2015.
",,"Imóvel à Avenida Deusdeth Ferreira de Moura, n° 26"
65,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Área de Entorno||Construção Nova||textual
","10 folhas textuais.
||Requerimento, proposta e parecer.
",,"Imóvel à Avenida Deusdeth Ferreira de Moura, Quadra 10, Lote 10 e 11"
66,"Goiás, Goiás (GO)
","Identificação
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Cadastro de Bens Culturais Imóveis||Inventário Nacional de Bens Imóveis||textual
","03 folhas textuais; 01 foto; 01 planta.
||Documentação abrangendo o período de 1996 -1997.
",,"Imóvel à Rua da Carioca, s/n (2)"
67,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Rosa Gomes||Setor Carmo||Setor Santa Bárbara||textual
","02 folhas textuais.
||Documentação referente ao ano de 2002.
",,"Imóvel à Rua Hugo Ramos, nº 29"
68,"Goiás, Goiás (GO)
","Obras
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Intervenção||Travessa do Carmo||Rua do Ouvidor||textual
","13 folhas textuais; 01 planta.
||Documentação abrangendo o período de 1992 - 2006.
",,"Imóvel à Rua Senador Eugênio Jardim, nº 17"
69,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno||textual
","01 folha textual.
||Requerimento.
",,"Imóvel à Rua Coronel Santa Cruz, s/n (10)"
70,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno||textual
","01 folha textual.
||Requerimento.
",,"Imóvel à Rua Coronel Santa Cruz, s/n (9)"
71,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno||textual
","13 folhas textuais (com plantas em folhas diversas).
||Documentação abrangendo o período de 2001 - 2002.
",,"Imóvel à Rua Santa Bárbara, n° 01"
72,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno||textual
","38 folhas textuais; 05 plantas.
||Documentação abrangendo o período de 2008 - 2009.
",,"Imóvel à Rua Santa Bárbara, Quadra 06, Lote 16"
73,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno||textual
","13 folhas textuais (com plantas em folhas A4)
||Documentação abrangendo o período de 1997 - 2012.
",,"Imóvel à Rua Santa Bárbara, n° 48"
74,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Corumbá||Vistoria||textual
","04 folhas textuais.
||Documentação abrangendo o período de 2005 - 2009.
",,"Imóvel à Rua Maximiano Mendes, s/n (05)"
75,"Goiás, Goiás (GO)
","Identificação
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Conjunto Arquitetônico e Urbanístico do Largo do Chafariz, ou Praça Monsenhor Confúcio, inclusive Chafariz da Boa Morte||Praça Doutor Brasil Ramos Caiado||Setor Santana||textual
","01 folha textual; 01 foto; 01 planta.
||Ficha do Cadastro de Bens Culturais Imóveis.
",,"Imóvel ao Largo do Chafariz, n° 17"
76,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno||textual
","01 folha textual.
||Requerimento.
",,"Imóvel à Rua Coronel Santa Cruz, s/n (12)"
77,"Goiás, Goiás (GO)
","Obras
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Intervenção||Rua Corumbá||Obra Emergencial||Ateliê Manocci||textual
","24 folhas textuais; 01 planta.
||Documentação abrangendo o período de 1999 - 2012.
",,"Imóvel à Rua Maximiano Mendes, nº 13"
78,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno||textual
","01 folha textual.
||Requerimento.
",,"Imóvel à Rua Santa Bárbara, Quadra 19, Lote 15"
79,"Goiás, Goiás (GO)
","Obras
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Intervenção||Rua Corumbá||textual
","02 folhas textuais; 01 planta.
||Documentação abrangendo o período de 2005 - 2012.
",,"Imóvel à Rua Maximiano Mendes, nº 24"
80,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Corumbá||textual
","01 folha textual.
||Documentação referente ao ano de 2009.
",,"Imóvel à Rua Maximiano Mendes, nº 18"
81,"Goiás, Goiás (GO)
","Obras
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Intervenção||Rua Corumbá||Programa MONUMENTA||textual
","20 folhas textuais; 03 plantas.
||Documentação abrangendo o período de 1999 - 2011.
",,"Imóvel à Rua Maximiano Mendes, nº 06"
82,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno||textual
","01 folha textual.
||Requerimento.
",,"Imóvel à Rua Santa Bárbara, Quadra A, Lote 02"
83,"Goiás, Goiás (GO)
","Fiscalização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||textual
","03 folhas textuais.
||Documentação abrangendo o período de 1985 - 1994.
",,"Imóvel à Rua da Abadia, nº 04"
84,"João Pessoa, Paraíba (PB)
","Identificação
||Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Varadouro||Rua Padre Antônio Pereira||Ladeira de São Frei Pedro Gonçalves||Fotografias
","Fotografia COR; 15 x 10 cm
||Parte da fachada, ladeira e vista do Rio Sanhauá
","F000134
","Imóvel à Praça São Frei Pedro Gonçalves, nº 02 ﻿"
85,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno||textual
","23 folhas textuais.
||Documentação abrangendo o período de 2014 - 2016.
",,"Imóvel à Rua Santa Bárbara, s/n (7)"
86,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno||textual
","05 folhas textuais.
||Documentação abrangendo o período de 2005 - 2013.
",,"Imóvel à Rua Santa Bárbara, n° 10"
87,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno||textual
","03 folhas textuais.
||Documentação abrangendo o período de 2000 - 2002.
",,"Imóvel à Rua Santa Bárbara, n° 12"
88,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||textual
","04 folhas textuais.
||Documentação abrangendo o período de 2000 - 2003.
",,"Imóvel à Rua da Abadia, nº 07"
89,"João Pessoa, Paraíba (PB)
","Obras
||Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Varadouro||Rua Padre Antônio Pereira||Ladeira de São Frei Pedro Gonçalves||Intervenção||Fotografias
","Fotografia COR; 15 x 10 cm
||[Prospecção arqueológica]
","F000131
","Imóvel à Praça São Frei Pedro Gonçalves, nº 02 ﻿"
90,"João Pessoa, Paraíba (PB)
","Identificação
||Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Varadouro||Rua Padre Antônio Pereira||Ladeira de São Frei Pedro Gonçalves||Fotografias
","Fotografia COR; 15 x 10 cm
||Vista interna
","F000132
","Imóvel à Praça São Frei Pedro Gonçalves, nº 02 ﻿"
91,"João Pessoa, Paraíba (PB)
","Obras
||Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Rua Visconde de Pelotas||Rua Conselheiro Henriques||Praça Dom Adauto||Intervenção||Fotografias
","Fotografia P&B; 9 x 12 cm
||Esquadria original com bandeira ogival e caixilharia envidraçada; verga de madeira; com quatro folhas; sendo duas tipo veneziana e duas inteiriças que quando abertas compõem o aro revestido de madeira na altura da bandeira no desenho das folhas internas pavimento superior
","F002060
",Sobrado do Comendador Santos Coelho
92,"João Pessoa, Paraíba (PB)
","Obras
||Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Rua Visconde de Pelotas||Rua Conselheiro Henriques||Praça Dom Adauto||Intervenção||Fotografias
","Fotografia COR; 30 x 45 cm
||Vista interna
","F002045
",Sobrado do Comendador Santos Coelho
93,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Notificação||Rua Corumbá||textual
","03 folhas textuais.
||Documentação referente ao ano de 2001.
",,"Imóvel à Rua Maximiano Mendes, nº 11B"
94,"João Pessoa, Paraíba (PB)
","Obras
||Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Rua Visconde de Pelotas||Rua Conselheiro Henriques||Praça Dom Adauto||Intervenção||Fotografias
","Fotografia COR; 14,5 x 10 cm
||Prospecção da pintura existente que revelou detalhe da pintura original
","F002116
",Sobrado do Comendador Santos Coelho
95,"João Pessoa, Paraíba (PB)
","Identificação
||Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Varadouro||Rua Padre Antônio Pereira||Ladeira de São Frei Pedro Gonçalves||Fotografias
","Fotografia COR; 15 x 10 cm
||Vista interna
","F000133
","Imóvel à Praça São Frei Pedro Gonçalves, nº 02 ﻿"
96,"João Pessoa, Paraíba (PB)
","Obras
||Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Rua Visconde de Pelotas||Rua Conselheiro Henriques||Praça Dom Adauto||Intervenção||Fotografias
","Fotografia COR; 30 x 44 cm
||Vista interna
","F002643
",Sobrado do Comendador Santos Coelho
97,"João Pessoa, Paraíba (PB)
","Obras
||Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Rua Visconde de Pelotas||Rua Conselheiro Henriques||Praça Dom Adauto||Intervenção||Fotografias
","Fotografia COR; 14,5 x 10 cm
||Pavimentação superior do anexo. Piso em mosaico estruturado com peças de madeira. Apresenta-se em ruínas
","F002114
",Sobrado do Comendador Santos Coelho
98,"João Pessoa, Paraíba (PB)
","Obras
||Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Rua Visconde de Pelotas||Rua Conselheiro Henriques||Praça Dom Adauto||Intervenção||Fotografias
","Fotografia P&B; 14 x 9 cm
||Detalhe dos azulejos do revestimento externo português em tons azul e branco medindo 13 x 13 cm
","F002055
",Sobrado do Comendador Santos Coelho
99,"João Pessoa, Paraíba (PB)
","Obras
||Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Rua Visconde de Pelotas||Rua Padre Antônio Pereira||Praça Dom Adauto||Intervenção||Fotografias
","Fotografia P&B; 9 x 14 cm
||Porta principal antes da restauração
","F002056
",Sobrado do Comendador Santos Coelho
